Book #,SONG ID,SOURCE,Title,Text © admin,CCLI #,Tune © admin,Author,Author's life span,Tune name,Composer,Composer life span,Word revisions,life span,Music adapt ,Life span,Descants,Life span,Ref. No,Psalm ref #
1,P001,1,How blest the man who does not walk,Ward,n/a,pd,The Complete Book of Psalms for Singing,1991,ST. PETERSBURG,"Bortniansky, Dimitri S.",1751-1825,,,,,,,,1
2,P003,2,Why now do the nations rage?,PCA,n/a,pd,Rejoice!,1987,MONSEY CHAPEL,"Van Halsema, Dick L. ",b. 1922,,,,,,,,3
3,P004,3,"O LORD, how are my foes increased!",Crown and Covenant;,n/a,pd,The Complete Book of Psalms for Singing,1991,MARTYRDOM,"Wilson, Hugh ",1766-1824,,,,,,,,4
3,P004,3,"O LORD, how are my foes increased!",Ward;,n/a,pd,The Book of Psalms for Singing,1973,MARTYRDOM,"Wilson, Hugh ",1766-1824,,,,,,,,4
4,P005,4,"O hear my cry, my righteous God",Free Church of Scotland,n/a,pd,Sing Psalms,2003,CHESHIRE,"Este, The Whole Book of Psalmes",1592,,,,,,,,5
119:01:00,P153,119:01:00,Blessed are those of blameless ways,Free Church of Scotland,n/a,pd,Sing Psalms,2003,APPLETON,"Boyce, William ",1710-1779,,,,,,,,154
119:09:00,P174,119:09:00,How can the young keep their life pure?,Free Church of Scotland,n/a,pd,Sing Psalms,2003,DUANE STREET,"Coles, George ",1792-1858,,,,,,,,155
119:17:00,P163,119:17:00,Do good to me,Free Church of Scotland,n/a,pd,Sing Psalms,2003,MARYTON,"Smith, H. Percy ",1825-1898,,,,,,,,156
119:25:00,P164,119:25:00,My soul is laid low     ,Free Church of Scotland,n/a,pd,Sing Psalms,2003,PENTECOST,"Boyd, William ",1847-1928,,,,,,,,157
119:33:00,P166,119:33:00,"Teach me, O LORD",1957,n/a,pd,Psalter Hymnal ,1957,BISHOP,"Holbrook, Joseph P.",1822-1888,,,,,,,,159
119:41:00,P167,119:41:00,May your unfailing love come to me,Free Church of Scotland,n/a,FCS,Sing Psalms,2003,MULCHAICH,"Scott, Isobel ",b. 1942,,,,,,,,160
119:49:00,P168,119:49:00,"LORD, your word to me remember",1957,n/a,pd,Psalter Hymnal,1957,STUTTGART,"Witt, Christian F.",1660-1716,,,"Gauntlett, Henry J. ",1805-1876,,,,161
119:57:00,P169,119:57:00,"Thou art my portion, LORD",1957,n/a,pd,Psalter Hymnal,1957,CARLISLE,"Lockhart, Charles",1745-1815,,,,,,,,162
5,P006,5,"LORD Almighty, hear my words",STTL,n/a,FACR,"Rogers, John H.",b. 1951,HOSEA,"Jonkman, Norm ",b. 1944,,,,,,,,6
6,P007,6,"LORD, chasten not in anger",FACR,n/a for words; 726651 CCLI number added,FACR,"Walhout, Clarence P.",b. 1934,GENEVAN 6,Genevan Psalter,1542,,,"Goudimel, Claude ",c. 1505-1572,,,,7
6,P007,6,"LORD, chasten not in anger",FACR,n/a,pd,"Walhout, Clarence P.",b. 1934,PLEADING,Genevan Psalter,1542,,,"Slenk, Howard ",b. 1931,,,,7
7,P008,7,"O LORD my God, my refuge is in you",Free Church of Scotland,n/a,OUP,Sing Psalms,2003,MORESTEAD,"Watson, Sydney ",1903-1991,,,,,,,,8
8,P009,8,In all the earth,Free Church of Scotland,n/a,pd,Sing Psalms,2003,ST. MATTHEW,"Croft, William ",1678-1727,,,,,,,,9
9,P010,9,Wholehearted thanksgiving,Free Church of Scotland,n/a,pd,Sing Psalms,2003,TO GOD BE THE GLORY (without refrain),"Doane, William H.",1832-1915,,,,,,,,10
10,P011,10,"O LORD, why do you stand remote?",Free Church of Scotland,n/a,pd,Sing Psalms,2003,BANGOR,"Tans'ur, William ",1706-1783,,,,,,,,11
11,P012,11,The LORD is my refuge,STTL,n/a,pd,"Goris, John ",b. 1937,FOUNDATION,American,,,,,,,,,12
12,P013,12,"Help, LORD, for godly men are few",Ward,n/a,pd,The Complete Book of Psalms for Singing,1991,ST. CHRYSOSTOM,"Barnby, Joseph ",1838-1896,,,,,,,,13
13,P014,13,"How long will you forget me, LORD?",FACR,726857 added,pd,"Post, Marie J.",1919-1990,BROTHER JAMES' AIR,"Bain, James L. Macbeth ",1840-1925,,,"Jacob, Gordon ",1895-1984,,,,14
14,P015,14,The fool speaks in his heart,Free Church of Scotland,n/a,FACR,Sing Psalms,2003,MAPLE AVENUE ,"Van Oss, Richard L. ",b. 1953,,,Sing to the Lord,2008,,,,15
15,P016,15,"Who, O LORD, with thee abiding",pd,n/a,pd,Psalter Hymnal ,1957,HELEN,"Vail, Silas J. ",1818-1883,,,,,,,,16
16,P017,16,"Protect me, O my God",Free Church of Scotland,n/a,pd,Sing Psalms,2003,MARY,"Lewis, Henry A. ",before 1913,,,,,,,,17
17,P019,17,"LORD, hear my righteous plea",Free Church of Scotland,n/a,pd,Sing Psalms,2003,FRANCONIA,"König, Johann B. ",1691-1758,,,"Havergal, William H. ",1793-1870,,,,19
18,P020,18,"I love you, LORD!",Free Church of Scotland,n/a,pd,Sing Psalms,2003,ST. AGNES' SCHOOL,"Jeffrey, J. Albert ",1851-1928,,,Sing to the Lord,2008,,,,20
19,P021,19,The spacious heavens declare,STTL,n/a,pd,Sing to the Lord,2008,ARTHUR'S SEAT,"Goss, John ",1800-1880,,,"Burnap, Uzziah C. ",1834-1900,,,,21
20,P023,20,The LORD answer you when you cry,Free Church of Scotland,n/a,pd,Sing Psalms,2003,MALDWYN,Welsh,C. 1600,,,,,,,,23
21,P024,21,"O LORD, in your strength",Free Church of Scotland,n/a,FCS,Sing Psalms,2003,EXULTATION,"Scott, Isobel ",b. 1942,,,,,,,,24
22,P025,22,"My God, my God",Ward,n/a,pd,The Complete Book of Psalms for Singing,1991,LEST WE FORGET,"Blanchard, George F. ",1868-1926,,,,,,,,25
23,P028,23,The LORD’s my shepherd,pd,n/a,pd,Scottish Psalter,1650,CRIMOND,"Irvine, Jessie S. ",1836-1887,,,"Pritchard, Thomas C.L.  ",1835-1935,"Ross, W. Baird ",1871-1950,,28
24,P029,24,The earth and the riches,Crown and Covenant;,n/a,pd,The Book of Psalms for Singing,1973,LANSING,"Gabriel, Charles H.",1858-1923,,,,,,,,29
25,P030,25,"LORD, I lift my soul to thee",pd,n/a,pd,Psalter Hymnal,1957,SPANISH HYMN,Spanish,,,,"Carr, Benjamin ",1768-1831,,,,30
25,P030,25,"LORD, I lift my soul to thee",pd,n/a,pd,Psalter Hymnal,1957,IN MEMORIAM (ROBERTS),"Roberts, Caradog",1878-1935,,,,,,,,30
26,P032,26,"LORD, speak for me, for I am yours",FACR,n/a,pd,"Post, Marie J.",1919-1990,BELIEF,English ,,,,,,,,,32
27,P033,27,Jehovah is my light,Crown and Covenant;,n/a,pd,The Book of Psalms for Singing,1973,MILLENNIUM,"Beecher, Plymouth Collection",1855,,,,,,,,33
27,P033,27,Jehovah is my light,pd,n/a,pd,Psalter Hymnal  ,1957,MILLENNIUM,"Beecher, Plymouth Collection",1855,,,,,,,,33
28,P034,28,"To you, O LORD, I cry",STTL,n/a,1957,"Goris, John ",b. 1937,OWEN,"Hartog, Adrian ",1899-1964,,,,,,,P34,34
29,P035,29,"O give to Jehovah, you sons",Crown and Covenant;,n/a,pd,The Book of Psalms for Singing,1973,ARLES,"Gabriel, Charles H.",1858-1923,,,,,,,,35
30,P036,30,"O LORD, I will exalt your name",Free Church of Scotland,n/a,pd,Sing Psalms,2003,HEAVENLY FOLD,"Sherwin, William F. ",1826-1888,,,,,,,,36
31,P037,31,"In you, LORD, I take refuge",STTL,n/a,pd,Sing to the Lord,2012,EWING,"Ewing, Alexander C.",1830-1895,,,,,,,,37
32,P038,32,How blest is he whose trespass,1957,n/a,pd,Psalter Hymnal,1957,RUTHERFORD,"Urhan, Chrétien ",1790-1845,,,"Rimbault, Edward F. ",1816-1876,,,,38
33,P039,33,Joyfully sing to the LORD,Free Church of Scotland,n/a,pd,Sing Psalms,2003,MORNING STAR,"Harding, John P. ",1850-1911,,,,,,,,39
34,P040,34,The LORD I will at all times bless,Free Church of Scotland,n/a,pd,Sing Psalms,2003,EUPHEMIA,"Unseld, Benjamin C. ",1843-1923,,,,,,,,40
35,P041,35,"LORD, plead my case",Free Church of Scotland,n/a,pd,Sing Psalms,2003,ALL SAINTS NEW,"Cutler, Henry S. ",1824-1902,,,,,,,,41
36,P042,36,The trespass of the wicked man,1957,n/a,pd,Psalter Hymnal   ,1957,HUDDERSFEILD(MADAN),"Madan, Martin ",1726-1790,,,,,,,,42
36,P042,36,The trespass of the wicked man,Free Church of Scotland,n/a,pd,Sing Psalms,2003,HUDDERSFEILD(MADAN),"Madan, Martin ",1726-1790,,,,,,,,42
37,P043,37,Do not fret on account of the wicked,Free Church of Scotland,n/a,Free Church of Scotland,Sing Psalms,2003,CONTENTMENT,"MacDonald, Donald M. ",b. 1944,,,"Gordon, Andrew  ",b. 1969,,,,43
38,P044,38,"In wrath do not rebuke me, LORD",Free Church of Scotland,n/a,pd,Sing Psalms,2003,LLEF,"Jones, Griffith Hugh  (Gutyn Arfon)",1849-1919,,,,,,,,44
39,P045,39,"I said, “Now let me watch my ways”",Free Church of Scotland,n/a,Free Church of Scotland,Sing Psalms,2003,INNOCENCE,"MacDonald, Donald M. ",b. 1944,,,"Gordon, Andrew",b. 1969,,,,45
40,P047,40,I waited long upon the LORD,Free Church of Scotland,n/a,pd,Sing Psalms,2003,MERTHYR TYDFIL,"Parry, Joseph ",1841-1903,,,,,,,,47
41,P048,41,Blest is the one,Free Church of Scotland,n/a,pd,Sing Psalms,2003,MORECAMBE,"Atkinson, Frederick C. ",1841-1896,,,,,,,,48
42,P049,42,As a deer in want of water,FACR,727540 added,pd,Psalter Hymnal,1987,GENEVAN 42,Genevan Psalter,1551,,,Koraalboek vir Psalms en Gesange,,,,,49
43,P051,43,"Vindicate me, God, my Father",FACR,727540 added,pd,Psalter Hymnal,1987,GENEVAN 42,Genevan Psalter,1551,,,Koraalboek vir Psalms en Gesange,,,,,50
44,P053,44,"O God, we have heard",Ward,n/a,pd,The Complete Book of Psalms for Singing,1991,MALDWYN,Welsh,c. 1600,,,,,,,,53
45,P054,45,A noble theme inspires my heart,Free Church of Scotland,n/a,pd,Sing Psalms,2003,YORKSHIRE,"Wainwright, John ",1723-1768,,,,,,,,54
46,P055,46,God is our refuge and our strength,FACR,n/a (actually PD),pd,Psalter Hymnal,1987,NOEL,English ,,,,"Sullivan, Arthur S.",1842-1900,,,,55
47,P056,47,Clap your hands and shout!,Helder,n/a,pd,"Helder, William ",b. 1942,GENEVAN 47,Genevan Psalter,1551,,,"Goudimel, Claude ",c. 1505-1572,,,,56
48,P058,48,Great is the LORD our God,1957,n/a,,"Rogers, John H.",b. 1951,DIADEMATA,"Elvey, George J. ",1816-1893,,,,,,,,58
48,P058,48,Great is the LORD our God,FACR,n/a,pd,Psalter Hymnal,1987,DIADEMATA,"Elvey, George J. ",1816-1893,,,,,,,,58
48,P058,48,Great is the LORD our God,STTL,n/a,,Psalter Hymnal,1957,DIADEMATA,"Elvey, George J. ",1816-1893,,,,,,,,58
49,P059,49,"Listen to me, all you peoples",Free Church of Scotland,n/a,pd,Sing Psalms,2003,BEECHER,"Zundel, John ",1815-1882,,,,,,,,59
50,P060,50,The mighty God and sovereign LORD,FACR,727722 added,pd,Psalter Hymnal,1957,MELITA,"Dykes, John B. ",1823-1876,"Post, Marie J. ",b. 1919,,,,,,60
51,P061,51,"O my God, have mercy on me",Free Church of Scotland,n/a,pd,Sing Psalms,2003,OTTAWA,"Mason, Lowell ",1792-1872,,,,,,,,61
52,P063,52,"Mighty mortal, boasting evil",FACR,5021976 added,Broadman Press,"Otte, Helen ",b. 1931,MADILL,"Butler, Aubrey L. ",b. 1933,,,,,,,,63
53,P064,53,The fool speaks in his heart,Free Church of Scotland,n/a,FACR,Sing Psalms,2003,MAPLE AVENUE ,"Van Oss, Richard L. ",b. 1953,,,Sing to the Lord,2008,,,,64
54,P065,54,"Save, O God, by your great name",STTL,n/a,pd,"Goris, John ",b. 1937,ST. BEES,"Dykes, John B. ",1823-1876,,,,,,,,65
55,P066,55,"O God, please listen to my prayer",Free Church of Scotland,n/a,pd,Sing Psalms,2003,ST. FLAVIAN,"Day, Psalter",1562,,,,,,,,66
56,P067,56,"O God, be merciful",1957,n/a,pd,Psalter Hymnal ,1957,INVITATION,"Maker, Frederick C. ",1844-1927,,,,,,,,67
56,P067,56,"O God, be merciful",STTL,n/a,,"Rogers, John H.",b. 1951,INVITATION,"Maker, Frederick C. ",1844-1927,,,,,,,,67
57,P068,57,"Have mercy on me, LORD",Free Church of Scotland,n/a,pd,Sing Psalms,2003,ST. THOMAS,"Williams, Aaron ",1731-1776,,,,,,,,68
58,P070,58,"You rulers, do you know",Free Church of Scotland,n/a,pd,Sing Psalms,2003,LANGRAN,"Langran, James ",1835-1909,,,,,,,,70
59,P071,59,From foes and all who threaten me,Free Church of Scotland,n/a,pd,Sing Psalms,2003,KINGSFOLD,English,,,,"Vaughan Williams, Ralph ",1872-1958,,,,71
60,P072,60,"O God, you have rejected us",FACR,345317 added,Broadman Press,"Post, Marie J.",1919-1990,XAVIER (TIPTON),"Tipton, Julius R. ",b. 1942,,,,,,,,72
61,P073,61,"O hear my urgent cry, my God",Free Church of Scotland,n/a,pd,Sing Psalms,2003,DALEHURST,"Cottman, Arthur ",1842-1879,,,,,,,,73
62,P074,62,My soul finds rest in God alone,Free Church of Scotland,n/a,pd,Sing Psalms,2003,ST. CRISPIN,"Elvey, George J. ",1816-1893,,,,,,,,74
63,P075,63,"O God, you are my God alone",Free Church of Scotland,n/a,1957,Sing Psalms,2003,ARCADIA,"Johnson, Carolyn Beezhold ",1954,,,,,,,,75
64,P077,64,"Hear my voice,O God",FACR,n/a,pd,The Book of Psalms for Singing,1973,BOURBON,Hesperian Harp,1848,,,"McAllister, Louise ",1913-1960,,,,77
65,P078,65,"Praise is your right, O God, in Zion",FACR,728257 added,FACR,"Wiersma, Stanley ",1930-1986,GENEVAN 65,Genevan Psalter,1543,,,"Grotenhuis, Dale  ",b. 1931,,,,79
66,P080,66,"Come, everyone, and join with us",FACR (changed),5593466 chang'd,pd,"Post, Marie J.",1919-1990,NOEL,English ,,,,"Sullivan, Arthur S.",1842-1900,,,,80
67,P081,67,"O God, to us show mercy",FACR,n/a,pd,Psalter ,1887,AURELIA,"Wesley, Samuel S.  ",1810-1876,,,,,,,,81
68,P082,68,May God arise,Free Church of Scotland,n/a,pd,Sing Psalms,2003,LEICESTER,"Bishop, John ",1665-1737,,,,,,,,82
69,P085,69,"Save me, O God; I sink in floods",FACR,728460 added,pd,"Post, Marie J.",1919-1990,GRÄFENBURG,"Crüger, Johann ",1598-1662,,,,,,,,85
70,P087,70,"Make haste, O God, to save me",Free Church of Scotland,n/a,pd,Sing Psalms,2003,PENLAN,"Jenkins, David ",1848-1915,,,,,,,,87
71,P088,71,"In you, O LORD, I put my trust",STTL,n/a,pd,"Rogers, John H.",b. 1951,I SEE THEE STANDING ,Anonymous,,,,,,,,,88
72,P089,72,Endow the king with justice,Free Church of Scotland,n/a,pd,Sing Psalms,2003,HIGHER GROUND,"Gabriel, Charles H.",1858-1923,,,,,,,,89
73,P090,73,Surely God is good to Israel,Free Church of Scotland,n/a,pd,Sing Psalms,2003,MANNHEIM,"Filitz, Choralbuch",1847,,,,,,,,90
74,P093,74,"Why, O my God, are we cast off?",Free Church of Scotland,n/a,pd,Sing Psalms,2003,CONSOLATION (MENDELSSOHN),"Mendelssohn, Felix ",1809-1847,,,,,,,,93
74,P093,74,"Why, O my God, are we cast off?",Free Church of Scotland,n/a,pd,Sing Psalms,2003,FELIX (RAYNOLDS) ,"Mendelssohn, Felix ",1809-1847,,,,,,,,93
75,P094,75,"We give you thanks, O God",Free Church of Scotland,n/a,pd,Sing Psalms,2003,CARLISLE,"Lockhart, Charles",1745-1815,,,,,,,,94
76,P095,76,God is known among his people,1957,n/a,pd,Psalter Hymnal,1957,TEMPLE BORO,"Pinder, F.",c. 1900,,,,,,,,95
77,P096,77,I cry out that God may hear me,STTL,n/a,1957,"Hoyt, Berwyn ",b. 1973,GENEVAN 77,Genevan Psalter,1551,,,"Bruinsma, Henry ",1916-1991,,,,96
78,P097,78,"O my people, hear my teaching",Free Church of Scotland,n/a,pd,Sing Psalms,2003,LUX PRIMA (GOUNOD),"Gounod, Charles F.",1818-1893,,,,,,,,97
79,P099,79,"Lord, the nations have invaded",Free Church of Scotland,n/a,Concordia,Sing Psalms,2003,O MEIN JESU,"Geistliche Volkslieder, Paderborn",1850,,,"Bunjes, Paul ",1914-1998,,,,99
80,P100,80,"Hear, O Israel's Shepherd",Free Church of Scotland,n/a,pd,Sing Psalms,2003,LOVE DIVINE,"Stainer, John",1840-1901,,,,,,,,100
81,P101,81,Sing for joy to God,Free Church of Scotland,n/a,pd,Sing Psalms,2003,FABEN,"Wllcox, John H. ",1827-1875,,,,,Sing to the Lord,2008,,101
82,P103,82,There where the judges gather,pd,n/a,pd,"Zylstra, Henry ",1909-1956,MEIRIONYDD,"Lloyd, William ",1786-1852,,,,,,,,103
83,P104,83,"O my God, do not keep silent",Free Church of Scotland,n/a,pd,Sing Psalms,2003,EIFIONYYD,"Lloyd, John Ambrose ",1815-1874,,,,,,,,104
84,P105,84,"O LORD of hosts, how lovely",1957,n/a,pd,Psalter Hymnal   ,1957,ST. EDITH (ST. HILDA),"Husband, Edward ",1843-1908,,,,,,,,105
84,P105,84,"O LORD of hosts, how lovely",1957,n/a,pd,Psalter Hymnal   ,1957,ST. EDITH (ST. HILDA),"Knecht, Justin H.  ",1752-1817,,,,,,,,105
85,P106,85,"In times past, LORD",Free Church of Scotland,n/a,pd,Sing Psalms,2003,CALON LÂN,"Hughes, John (Gland?r)",1872-1914,,,,,,,,106
86,P107,86,"Hear, O LORD, and answer me",Free Church of Scotland,n/a,FACR,Sing Psalms,2003,HOSEA,"Jonkman, Norm ",b. 1944,,,,,,,,107
87,P109,87,On the holy mountain,STTL,n/a,STTL,"Cressy, Coby",b. 1938,HOLY MOUNTAIN,"Cressy, Coby",b. 1938,,,,,,,,109
88,P111,88,"LORD, you are the God who saves me",Free Church of Scotland,n/a,pd,Sing Psalms,2003,OTTERY ST.  MARY,"Ley, Henry G. ",1887-1962,,,,,,,,111
90,P116,90,"Lord, you have been our dwelling place",Ward,n/a,pd,The Complete Book of Psalms for Singing,1991,ST. CHRYSOSTUM,"Barnby, Joseph ",1838-1896,,,,,,,,116
91,P117,91,The one whose dwelling is with God,Free Church of Scotland,n/a,pd,Sing Psalms,2003,WOODLANDS,"Greatorex, Walter ",1877-1949,,,,,,,,117
92,P118,92,How good it is to thank the LORD,1957,n/a,pd,Psalter Hymnal,1957,CHRISTINE,"Kroeger, Ernest R. ",1862-1934,,,,,,,,118
93,P119,93,Jehovah sits enthroned,1957,n/a,pd,Psalter Hymnal,1957,RIALTO,"Root, George F. ",1820-1895,,,,,,,,119
94,P120,94,Almighty LORD God,FACR,729696 added,pd,"Haveman, Patricia",b. 1946,ASPINWALL,"Gabriel, Charles H.",1858-1923,,,,,,,,120
95,P121,95,Now with joyful exultation,1957,n/a,pd,Psalter Hymnal,1957,BEECHER,"Zundel, John ",1815-1882,,,,,,,,121
96,P123,96,"Sing to the LORD, sing his praise",pd,n/a,pd,Psalter ,1912,WESLEY,"Mason, Lowell ",1792-1872,,,,,,,,123
97,P124,97,"Jehovah reigns, let earth be glad!",Free Church of Scotland,n/a,pd,Sing Psalms,2003,GILEAD (MÉHUL),"Méhul, Étienne-Nicolas ",1763-1817,,,,,,,,124
98,P125,98,Sing a new song to Jehovah,1957,n/a,pd,Psalter Hymnal,1957,ODE TO JOY,"Beethoven, Ludwig van ",1770-1827,,,,,,,,125
99,P127,99,Jehovah reigns in majesty,1957,n/a,pd,Psalter Hymnal,1957,ELLACOMBE,"Gesangbuch der Herzogl, Würtemberg",1784,,,,,,,,127
100,P128,100,Shout to the LORD with joy,Free Church of Scotland,n/a,pd,Sing Psalms,2003,DIADEMATA,"Elvey, George J. ",1816-1893,,,,,,,,128
101,P130,101,I'll praise your love and justice,Free Church of Scotland,n/a,D,Sing Psalms,2003,CADDO,"Bradbury, William B. ",1816-1868,,,,,,,,130
102,P131,102,"LORD, listen to my prayer",Free Church of Scotland,n/a,pd,Sing Psalms,2003,LOVE UNKNOWN,"Ireland, John N.",1879-1962,,,,,,,,131
103,P132,103,"Praise GOD, my soul!",Free Church of Scotland,n/a,Crossroads,Sing Psalms,2003,BEFORE THE THRONE,"Cook, Vikki ",1997,,,"Gordon, Andrew ",b. 1969,,,,132
104,P134,104,"My soul, bless the LORD!",1957,n/a,pd,Psalter Hymnal   ,1957,HOUGHTON,"Gauntlett, Henry J. ",1805-1876,,,,,,,,135
105,P135,105,Give thanks to the LORD God,Free Church of Scotland,n/a,pd,Sing Psalms,2003,AFTON,"Spilman, Jonathan E. ",1812-1896,,,,,,,,136
106,P137,106,Praise the LORD! Extol his goodness!,Free Church of Scotland,n/a,pd,Sing Psalms,2003,NEANDER,"Neander, Joachim ",1650-1680,,,,,,,,138
106,P137,106,Praise the LORD! Extol his goodness!,Free Church of Scotland,n/a,pd,Sing Psalms,2003,UNSER HERRSCHER,"Neander, Joachim ",1650-1680,,,,,,,,138
107,P138,107,"O thank the LORD, for he is good",Free Church of Scotland,n/a,Sovereign Lifestyle,Sing Psalms,2003,RACHEL,"Bowater, Chris ",b. 1947,,,"Tredinnick, Noël",b. 1949,,,,139
107,P138,107,"O thank the LORD, for he is good",Free Church of Scotland,n/a,Jubilate,Sing Psalms,2003,GOSHEN,"Gawler, Hymns and Psalms",1789,,,,,,,,139
107,P138,107,"O thank the LORD, for he is good",Free Church of Scotland,n/a,pd,Sing Psalms,2003,GOSHEN,German melody,1789,,,,,,,,139
108,P139,108,"O LORD God, my heart is steadfast",Free Church of Scotland,n/a,pd,Sing Psalms,2003,SUSSEX,English,,,,"Vaughan Williams, Ralph ",1872-1958,,,,140
109,P140,109,"O my God, whose name I worship",Free Church of Scotland,n/a,pd,Sing Psalms,2003,ENGADINE,"Frizzoni, Canzuns Spirituaelas",1765,,,,,,,,141
110,P141,110,The LORD unto my Lord has said,1957,n/a,pd,Psalter Hymnal,1987,ALL SAINTS NEW,"Cutler, Henry S. ",1824-1902,,,,,,,,142
111,P142,111,O give the LORD wholehearted praise,1957,n/a,pd,Psalter Hymnal,1957,FULDA ,"Gardiner, Sacred Melodies",1815,,,,,,,,143
111,P142,111,O give the LORD wholehearted praise,1957,n/a,pd,Psalter Hymnal,1957,GERMANY,"Gardiner, Sacred Melodies",1815,,,,,,,,143
112,P143,112,How blest the man who fears the LORD,1957,n/a,pd,Psalter Hymnal,1957,WAREHAM,"Knapp, William ",1698-1768,,,,,,,,144
113,P144,113,"O praise, you servants of the LORD",Free Church of Scotland,n/a,pd,Sing Psalms,2003,STELLA,English ,,,,,,,,,145
114,P145,114,When Israel out of Egypt came,Composite,n/a,pd,Composite,2008,NIAGARA,"Jackson, Robert ",1842-1914,,,,,,,,146
115,P146,115,"Not unto us, O LORD of heaven",1987,n/a,pd,Psalter Hymnal,1987,GAIRNEY BRIDGE,"Kroeger, Ernest R. ",1862-1934,,,,,,,,147
116,P147,116,I love the LORD,Free Church of Scotland,n/a,PF,Sing Psalms,2003,ELLERS,"Hopkins, Edward J. ",1818-1901,,,,,,,,148
